id;phase;category;status;description;source
TYPE_003;TypeChecking;NodeTypes;enforced;After Solve.runWithIds completes every non-negative expression or pattern ID that was recorded during constraint generation has an entry in the nodeTypes dictionary (ExprTypes or NodeTypes) mapping that ID to a canonical type while negative placeholder IDs are intentionally skipped by the NodeIds.recordNodeVar helper;Compiler.Type.Constrain.Typed.NodeIds|Compiler.AST.TypedCanonical|Compiler.Type.Solve

TYPE_004;TypeChecking;Occurs;enforced;The occurs check implemented in Compiler.Type.Occurs is invoked by the solver during unification to detect and reject infinite types (such as a equals List a) and any such cycle results in a type error recorded in the solver state ensuring infinite types are never accepted;Compiler.Type.Solve|Compiler.Type.Occurs

TYPE_005;TypeChecking;Generalization;enforced;Let-bound type variables are ranked by lexical nesting depth using rank pools and generalization only quantifies variables at the appropriate rank promoting or freezing younger variables as needed thus implementing rank-based let-polymorphism and preventing unsound polymorphism from leaking across scopes;Compiler.Type.Solve|Compiler.Type.Type

TYPE_006;TypeChecking;Annotations;enforced;User-provided type annotations are canonicalized to Can.Annotation and inserted into the constraint tree the solver then enforces equality between annotated and inferred types so mismatches cause Type.Error values that surface as BadTypes errors rather than being silently ignored;Compiler.Canonicalize.Type|Compiler.Type.Constrain.Erased.Expression|Compiler.Type.Constrain.Typed.Expression|Compiler.Type.Solve

# =============================================================================
# NITPICK PHASE - Pattern exhaustiveness and other semantic checks
# =============================================================================

NITPICK_001;Nitpick;Exhaustiveness;enforced;Every case expression is exhaustive after the Nitpick phase meaning all possible values of the scrutinee type are covered by at least one pattern and any missing patterns are reported as InexhaustivePatterns errors so downstream phases can assume case expressions always match exactly one alternative at runtime;Compiler.Nitpick.PatternMatches

# =============================================================================
# POST-SOLVE PHASE - Fix Group B types and infer kernel function types
# =============================================================================

POST_001;PostSolve;GroupB;enforced;The PostSolve phase walks the canonical AST after solving and assigns structurally computed types to all Group B expressions whose solver types were unconstrained synthetic variables including lists tuples records units and lambdas deriving these types from subexpression types and surrounding annotations to replace placeholders with concrete Can.Type structures;Compiler.Type.PostSolve

POST_002;PostSolve;KernelTypes;documented;Kernel function types are inferred by a two-step process seeding the kernel environment from alias definitions whose bodies are VarKernel expressions and then propagating types from usages (direct calls constructor arguments binary operators and case branches) using one-way scheme-to-type unification to build a KernelTypeEnv that maps (home name) kernel pairs to canonical function types with first-usage-wins semantics;Compiler.Type.PostSolve|Compiler.Optimize.Typed.KernelTypes

POST_003;PostSolve;Completeness;enforced;After PostSolve all non-negative expression IDs in NodeTypes have meaningful concrete types and no unconstrained synthetic type variables remain for non-kernel expressions so the fixed nodeTypes map is guaranteed to be suitable for building TypedCanonical and for downstream typed optimization;Compiler.Type.PostSolve|Compiler.AST.TypedCanonical

POST_004;PostSolve;Determinism;documented;For Group B expressions the structurally computed PostSolve types depend only on the canonical AST structure and the initial solver-produced nodeTypes so given the same canonical module and initial nodeTypes PostSolve deterministically produces the same fixed nodeTypes and kernelEnv;Compiler.Type.PostSolve

# =============================================================================
# TYPED OPTIMIZATION PHASE - Preserve and exploit types in optimized IR
# =============================================================================

TOPT_001;TypedOptimization;TypeCarrying;enforced;Every TypedOptimized.Expr variant carries its Can.Type as the last constructor argument and the typeOf helper function simply pattern-matches on each variant to return that trailing type field for any expression;Compiler.AST.TypedOptimized

TOPT_002;TypedOptimization;DecisionTrees;enforced;All pattern matches are compiled into decision trees (Decider structures) that operate over flat variable bindings and destructor paths so no nested patterns remain in the TypedOptimized IR and the resulting Decider trees are exhaustive by construction relying on earlier pattern exhaustiveness checking and the decision-tree completeness guarantees;Compiler.AST.TypedOptimized|Compiler.Optimize.Typed.DecisionTree|Compiler.Optimize.Typed.Case|Compiler.Nitpick.PatternMatches

TOPT_003;TypedOptimization;Annotations;enforced;The typed local graph TOpt.LocalGraphData always includes the full Annotations dictionary mapping definition names to their type schemes carried over from type checking so monomorphization and backends can look up top-level types without re-consulting interfaces or re-running inference;Compiler.AST.TypedOptimized|Compiler.Compile|Compiler.Optimize.Typed.Module

TOPT_004;TypedOptimization;TypePreservation;documented;Typed optimization is designed to be type-preserving transformations such as inlining dead-code elimination and case-to-decision-tree compilation construct new TOpt.Expr nodes whose attached Can.Type matches the inferred type from TypedCanonical or nodeTypes propagating types via local rules like function type equals argTypes arrow bodyType and call type equals peeled result type of the function;Compiler.Optimize.Typed.Expression|Compiler.AST.TypedOptimized

TOPT_005;TypedOptimization;FunctionTypes;enforced;Function expressions in TypedOptimized carry their full function type as a list of (Name Can.Type) parameter types plus a result Can.Type and the overall expression Can.Type is the corresponding curried TLambda chain enabling accurate arity computation and type-directed specialization in monomorphization;Compiler.AST.TypedOptimized|Compiler.Optimize.Typed.Expression|Compiler.Generate.Monomorphize

# =============================================================================
# MONOMORPHIZATION PHASE - Specialize polymorphic functions to concrete types
# =============================================================================

MONO_001;Monomorphization;Types;documented;MonoType encodes fully elaborated runtime shapes so concrete Elm instantiations of source types appear as MInt MFloat MList MTuple MRecord MCustom or MFunction and the only remaining use of generic type variables is via MVar with an attached Constraint such as CEcoValue or CNumber that does not require further type inference;Compiler.AST.Monomorphized

MONO_002;Monomorphization;Types;enforced;At MLIR codegen time no MonoType may contain MVar with CNumber constraint in any reachable position and any such occurrence indicates a failed specialization compiler bug;Compiler.AST.Monomorphized

MONO_003;Monomorphization;Types;documented;Remaining MVar with CEcoValue constraint are allowed and their concrete source types never affect runtime layout or calling convention and are tracked only for comparison or debugging purposes;Compiler.AST.Monomorphized

MONO_004;Monomorphization;Closures;enforced;Every MonoNode whose MonoType is a function must be callable so it is either MonoTailFunc params body monoType or MonoDefine expr monoType where expr is MonoClosure closureInfo body monoType;Compiler.Generate.Monomorphize

MONO_005;Monomorphization;Specialization;enforced;Each specialization identified by Global plus MonoType plus optional LambdaId has a unique SpecId recorded in SpecializationRegistry every MonoVarGlobal that mentions that SpecId refers to exactly one MonoNode implementing that specialization and there are no missing or orphan entries in the registry for any used instantiation;Compiler.AST.Monomorphized

MONO_006;Monomorphization;Layouts;documented;RecordLayout and TupleLayout store fieldCount indices and unboxedBitmap so field order indices and unboxing decisions for records and tuples are completely determined by these layouts;Compiler.AST.Monomorphized

MONO_007;Monomorphization;Access;enforced;Record field access computes fieldIndex and isUnboxed from the record MonoType layout so MonoRecordAccess and MonoRecordUpdate always use indices and unboxing consistent with RecordLayout;Compiler.Generate.Monomorphize

MONO_008;Monomorphization;Types;enforced;Function call specialization unifies canonical function types with monomorphic argument types so primitive numeric types are fixed to MInt or MFloat and primitive mismatches are treated as monomorphization bugs;Compiler.Generate.Monomorphize

MONO_009;Monomorphization;Debug;enforced;Polymorphic Debug kernel calls keep type variables as MVar by applying an empty substitution so their MonoType stays polymorphic and those type variables always have CEcoValue constraint and do not affect runtime layout or calling convention;Compiler.Generate.Monomorphize

MONO_010;Monomorphization;Types;enforced;MonoGraph is type complete and contains every type in the program including all aspects of those types such as all constructors for custom types stored in ctorLayouts;Compiler.AST.Monomorphized and Compiler.Generate.Monomorphize

MONO_011;Monomorphization;Graph;documented;MonoGraph is closed and hygienic every MonoVarLocal refers to a binder in scope every MonoVarGlobal and SpecId refers to an existing MonoNode and there are no orphan specializations or unreachable SpecIds in the SpecializationRegistry;Compiler.AST.Monomorphized

MONO_012;Monomorphization;Closures;documented;For every function or closure node the function MonoType flattened arity (computed by recursively peeling nested MFunction layers e.g. MFunction [a] (MFunction [b] c) has flattened arity 2) is at least as large as the parameter list length and all call sites supply arguments not exceeding that flattened arity so full and partial applications are always well formed and closures returning functions (nested lambdas) are valid;Compiler.Generate.Monomorphize

MONO_013;Monomorphization;Layouts;documented;For each custom type every constructor has a CtorLayout whose field count ordering and unboxedBitmap match the constructor's fields and all construction and pattern matching nodes that use that constructor are consistent with its CtorLayout;Compiler.AST.Monomorphized

MONO_014;Monomorphization;Layouts;documented;Structurally equivalent record and tuple types share RecordLayout or TupleLayout identifiers or at least have layouts with identical indices and unboxedBitmap so layout metadata is canonical and does not spuriously duplicate equivalent layouts;Compiler.AST.Monomorphized

MONO_015;Monomorphization;Accessors;enforced;When an accessor like .name with canonical type { ext | name : T } -> T is passed as a first-class function argument to a call site the accessor extension variable ext must be unified with the full record type inferred from other arguments at that call site so that specialization receives the complete record layout not just the explicitly named fields;Compiler.Generate.Monomorphize.Specialize|Compiler.Generate.Monomorphize.TypeSubst

# =============================================================================
# MLIR CODEGEN PHASE - Generate MLIR from monomorphized IR
# =============================================================================

CGEN_001;MLIR_Codegen;Boxing;enforced;MLIR codegen only inserts boxing and unboxing between primitive types and eco.value and any mismatch between different primitives such as i64 versus f64 is treated as a monomorphization bug rather than fixed locally;Compiler.Generate.MLIRMono

CGEN_002;MLIR_Codegen;Calls;enforced;generateCall treats calls whose result MonoType is still a function as partial applications and routes them through closure generation and eco.papExtend instead of emitting direct calls;Compiler.Generate.MLIRMono

CGEN_003;MLIR_Codegen;Closures;enforced;generateClosureApplication stores captured and applied arguments in their actual SSA types (i64 f64 or eco.value) without boxing and emits eco.papCreate with unboxed_bitmap and eco.papExtend with newargs_unboxed_bitmap attributes that track which slots contain unboxed primitives and the runtime merges bitmaps during partial application extension;Compiler.Generate.MLIR.Expr and RuntimeExports.cpp

CGEN_004;MLIR_Codegen;Destruct;enforced;generateDestruct and generateMonoPath always use the destructor MonoType to determine the path target MLIR type and never use the body result type so destruct paths yield their natural type and do not spuriously unbox;Compiler.Generate.MLIRMono

CGEN_005;MLIR_Codegen;Projection;enforced;generateMonoPath navigates containers as eco.value and uses eco.project with operand type eco.value and result type equal to the field type with the unboxed attribute set exactly when the result type is not eco.value;Compiler.Generate.MLIRMono

CGEN_006;MLIR_Codegen;Let;enforced;generateLet binds let names directly to the SSA value and MLIR type of the defining expression without wrapping in eco.construct so variable bindings preserve original boxed or unboxed representation;Compiler.Generate.MLIRMono

CGEN_007;MLIR_Codegen;Signatures;enforced;boxToMatchSignature and boxToMatchSignatureTyped adjust call arguments only for boxed versus unboxed differences so actual SSA types are made to match monoTypeToMlir of expected MonoTypes without changing primitive kinds;Compiler.Generate.MLIRMono

CGEN_008;MLIR_Codegen;Attributes;documented;eco.construct eco.project eco.call and eco.return always carry an _operand_types attribute whose entries exactly match the MLIR SSA operand types used at that call site;Compiler.Generate.MLIRMono

CGEN_009;MLIR_Codegen;Booleans;documented;Boolean constants must be emitted with typed MLIR attributes such as value equals 1 colon i1 so MLIR verifies that the constant value type and result type agree;PLAN.md known issues section

CGEN_010;MLIR_Codegen;Case;enforced;Every eco.case in the IR has an explicit result_types attribute and all alternatives eco.return terminators match it;Compiler.Generate.MLIRMono

CGEN_011;MLIR_Codegen;Functions;enforced;Every function referenced by eco.call must have a corresponding func.func definition or declaration in the module so no undefined function symbols escape MLIR codegen and the UndefinedFunction pass validates this invariant by failing the build on any violation;Compiler.Generate.MLIRMono and UndefinedFunction.cpp

CGEN_012;MLIR_Codegen;TypeMapping;enforced;monoTypeToMlir maps primitive MonoTypes to their unboxed MLIR types so MInt becomes i64 and MFloat becomes f64 and MBool becomes i1 and MChar becomes i32 and all other MonoTypes including MVar and compound types become eco.value;Compiler.Generate.CodeGen.MLIR

CGEN_013;MLIR_Codegen;Types;documented;At MLIR codegen time any MonoType component that is an MVar with CEcoValue constraint is always lowered to !eco.value so its concrete source type never affects generated layout or calling convention;Compiler.Generate.MLIRMono

CGEN_014;MLIR_Codegen;CtorLayouts;enforced;MLIR codegen does not consult GlobalTypeEnv for union definitions and relies solely on MonoGraph.ctorLayouts for constructor metadata so all CtorLayout information is pre-computed during monomorphization and passed to MLIR codegen via the MonoGraph;Compiler.Generate.CodeGen.MLIR and Compiler.Generate.Monomorphize

CGEN_015;MLIR_Codegen;TypeMapping;enforced;monoTypeToMlir maps MChar to i16 (Eco_Char) not i32 and all codegen char constants and ops must use i16;Compiler.Generate.MLIR.Types and runtime/src/codegen/Ops.td

CGEN_016;MLIR_Codegen;Construction;enforced;List values are constructed only with eco.construct.list for Cons cells and eco.constant Nil for empty lists and never with eco.construct.custom;Compiler.Generate.MLIR.Expr and runtime/src/codegen/Ops.td

CGEN_017;MLIR_Codegen;Construction;enforced;Tuples are constructed only with eco.construct.tuple2 for 2-tuples and eco.construct.tuple3 for 3-tuples and never with eco.construct.custom;Compiler.Generate.MLIR.Expr and runtime/src/codegen/Ops.td

CGEN_018;MLIR_Codegen;Construction;enforced;Records are constructed with eco.construct.record when field_count is nonzero and empty records are always eco.constant EmptyRec and never heap allocated;Compiler.Generate.MLIR.Expr and runtime/src/codegen/Ops.td

CGEN_019;MLIR_Codegen;Constants;enforced;Well known singleton values Unit True False Nil Nothing EmptyString and EmptyRec are always created via eco.constant and never via eco.construct or allocation;Compiler.Generate.MLIR.Ops and Compiler.Generate.MLIR.Expr

CGEN_020;MLIR_Codegen;Construction;enforced;eco.construct.custom is used only for user defined custom ADTs and its tag size and unboxed_bitmap attributes and operand count match the CtorLayout selected from MonoGraph.ctorLayouts;Compiler.Generate.MLIR.Functions and Compiler.Generate.MLIR.Expr and Compiler.Generate.Monomorphize

CGEN_021;MLIR_Codegen;Projection;enforced;List destructuring uses eco.project.list_head and eco.project.list_tail only and never eco.project.custom or tuple or record projection ops;Compiler.Generate.MLIR.Ops and runtime/src/codegen/Ops.td

CGEN_022;MLIR_Codegen;Projection;enforced;Tuple destructuring uses eco.project.tuple2 or eco.project.tuple3 with field index in range and never eco.project.custom or eco.project.record;Compiler.Generate.MLIR.Ops and runtime/src/codegen/Ops.td

CGEN_023;MLIR_Codegen;Projection;enforced;Record field access uses eco.project.record with field_index in range and never eco.project.custom;Compiler.Generate.MLIR.Ops and runtime/src/codegen/Ops.td

CGEN_024;MLIR_Codegen;Projection;enforced;Custom ADT field access uses eco.project.custom with field_index in range and no other projection op is used for custom ADT fields;Compiler.Generate.MLIR.Ops and runtime/src/codegen/Ops.td

CGEN_025;MLIR_Codegen;TypeConsistency;enforced;All eco.construct.* operations produce !eco.value results regardless of whether any fields are stored unboxed;runtime/src/codegen/Ops.td

CGEN_026;MLIR_Codegen;UnboxedBitmap;enforced;For eco.construct.tuple2 eco.construct.tuple3 eco.construct.record and eco.construct.custom the unboxed_bitmap has bit N set if and only if operand N is a primitive MLIR type and not !eco.value;runtime/src/codegen/Ops.td and Compiler.Generate.MLIR.Expr and Compiler.Generate.MLIR.Ops

CGEN_027;MLIR_Codegen;UnboxedBitmap;enforced;For eco.construct.list the head_unboxed attribute is true if and only if the head operand has a primitive MLIR type;runtime/src/codegen/Ops.td and Compiler.Generate.MLIR.Ops

CGEN_028;MLIR_Codegen;ControlFlow;enforced;Every eco.case alternative region terminates with eco.return eco.crash or a nested terminator eco.case and no alternative falls through without an explicit terminator and eco.jump is not allowed directly in case alternatives;runtime/src/codegen/Ops.td and Compiler.Generate.MLIR.Expr

CGEN_029;MLIR_Codegen;ControlFlow;enforced;eco.case tags array length equals the number of alternative regions;runtime/src/codegen/Ops.td

CGEN_030;MLIR_Codegen;ControlFlow;enforced;eco.jump target refers to a lexically enclosing eco.joinpoint with matching id and jump argument types match the joinpoint block argument types;runtime/src/codegen/Ops.td and runtime/src/codegen/Passes/EcoToLLVM and JoinpointNormalization.cpp

CGEN_031;MLIR_Codegen;ControlFlow;enforced;Within a single func.func each eco.joinpoint id is unique to avoid joinpoint target ambiguity during lowering;runtime/src/codegen/Passes/EcoToLLVM

CGEN_032;MLIR_Codegen;Attributes;enforced;_operand_types is required and must match SSA operand types when an op has one or more operands and may be omitted for zero operand ops;Compiler.Generate.MLIR.Ops and Compiler.Generate.MLIR.Expr

CGEN_033;MLIR_Codegen;Closures;enforced;eco.papCreate requires arity greater than 0 and num_captured equals the number of captured operands and num_captured is less than arity;Compiler.Generate.MLIR.Expr and runtime/src/codegen/Ops.td

CGEN_034;MLIR_Codegen;Closures;documented;MLIR codegen emits eco.papExtend with !eco.value result type and produces primitive results only by inserting an eco.unbox after papExtend when the expected result type is primitive;Compiler.Generate.MLIR.Expr and runtime/src/codegen/Ops.td

CGEN_035;MLIR_Codegen;ModuleStructure;enforced;Each module has at most one eco.type_table op at module scope;Compiler.Generate.CodeGen.MLIR

CGEN_036;MLIR_Codegen;ModuleStructure;enforced;When eco.dbg carries arg_type_ids each referenced type id must refer to a valid entry in the module eco.type_table;Compiler.Generate.CodeGen.MLIR

CGEN_037;MLIR_Codegen;Case;enforced;eco.case scrutinee representation and case_kind agree: scrutinee is i1 only for boolean cases and scrutinee is !eco.value for ctor/int/chr/str cases and if case_kind is present it matches the scrutinee interpretation;runtime/src/codegen/Ops.td

CGEN_038;MLIR_Codegen;KernelABI;enforced;All calls to the same kernel function name use exactly the same MLIR argument and result types across the whole module and any mismatch is a codegen bug;Compiler.Generate.MLIR.Context

CGEN_039;MLIR_Codegen;LoweringBoundary;documented;MLIR codegen does not emit eco.allocate eco.allocate_ctor eco.allocate_string or eco.allocate_closure and these allocation ops are introduced only by later lowering from eco.construct and related high level ops;runtime/src/codegen/Ops.td

CGEN_040;MLIR_Codegen;OperandTypes;enforced;For any operation that carries an `_operand_types` attribute, the attribute list length must equal the SSA operand count and each declared operand type must exactly match the corresponding SSA operand type (same order, no boxing/unboxing implied);tests/Compiler/Generate/CodeGen/Invariants.elm and runtime/src/codegen/Ops.td

CGEN_041;MLIR_Codegen;ModuleStructure;enforced;Within a module, all symbol definitions must be unique: no two `func.func` operations may have the same `sym_name` (and, more generally, no two symbol-bearing ops may define the same symbol);tests/Compiler/Generate/CodeGen/Invariants.elm and MLIR func dialect (func.func sym_name)

CGEN_042;MLIR_Codegen;ControlFlow;enforced;Every block in every region emitted by MLIR codegen must end with a terminator operation (e.g. eco.return eco.jump eco.case scf.yield cf.br cf.cond_br) and each eco.case alternative region must be properly terminated with no fallthrough past the end of a region;tests/Compiler/Generate/CodeGen/Invariants.elm and runtime/src/codegen/Ops.td

CGEN_043;MLIR_Codegen;Case;enforced;`eco.case` scrutinee representation and `case_kind` agree: `case_kind="bool"` requires an `i1` scrutinee, `case_kind="int"` requires an `i64` scrutinee, `case_kind="chr"` requires an ECO char scrutinee type, `case_kind="ctor"` requires a boxed `!eco.value` scrutinee, and `case_kind="str"` requires a boxed `!eco.value` scrutinee;runtime/src/codegen/Ops.td and tests/Compiler/Generate/CodeGen/Invariants.elm

CGEN_044;MLIR_Codegen;Calls;enforced;Every `eco.call` callee must resolve to an existing `func.func` symbol in the module (definition or declaration), and calls must not target placeholder/stub implementations when a non-stub implementation is present (i.e. the selected callee must be the intended, non-trivial definition for that logical function);tests/Compiler/Generate/CodeGen/Invariants.elm and runtime/src/codegen/Passes.h

CGEN_045;MLIR_Codegen;ControlFlow;enforced;eco.case is a block terminator so if a block ends with eco.case there are no operations after it in that block and eco.case never appears as a mid-block expression that falls through to subsequent operations;Compiler.Generate.MLIR.Expr and runtime/src/codegen/Ops.td

CGEN_046;MLIR_Codegen;ControlFlow;enforced;For every eco.case control reaching it never falls through to a continuation and all exits happen via eco.return or eco.crash inside its alternatives or via another nested terminator eco.case at the end of an alternative region;Compiler.Generate.MLIR.Expr and runtime/src/codegen/Ops.td

CGEN_047;MLIR_Codegen;ControlFlow;enforced;Every decider region that becomes an eco.case alternative has a non-empty op list whose last op is a real terminator (eco.return eco.crash or nested terminator eco.case) and codegen never manufactures trailing dummy eco.return ops for nested cases as hitting a non-terminator tail is a codegen bug;Compiler.Generate.MLIR.Expr

CGEN_048;MLIR_Codegen;ControlFlow;enforced;The EcoControlFlowToSCF pass only matches eco.case when it is the last op in its block (the block terminator) not when it is followed by eco.return or scf.yield and the rewrite replaces the terminator eco.case with scf.if or scf.index_switch plus a new terminator in the same block;runtime/src/codegen/Passes/EcoControlFlowToSCF.cpp

CGEN_049;MLIR_Codegen;Closures;enforced;eco.papCreate and eco.papExtend unboxed_bitmap attributes are limited to 52 bits and total captures plus arity must not exceed 52 and the number of set bits in unboxed_bitmap must equal the count of primitive typed operands so bitmap and operands stay consistent;runtime/src/codegen/EcoOps.cpp and Compiler.Generate.MLIR.Expr

CGEN_050;MLIR_Codegen;Lambdas;enforced;Lambda functions use typed signatures where capture parameters have their actual MonoType mapped to MLIR types and return types match the body expression type rather than always using eco.value so no internal boxing or unboxing is needed for primitive captures and returns;Compiler.Generate.MLIR.Lambdas

# =============================================================================
# RUNTIME HEAP PHASE - Memory layout and GC invariants
# =============================================================================

HEAP_001;Runtime_Heap;Header;documented;Every heap object begins with an 8 byte Header struct and the first TAG_BITS bits of the header encode the Tag which denotes the concrete heap object kind;Heap.hpp

HEAP_002;Runtime_Heap;Alignment;documented;All heap objects are 8 byte aligned and getObjectSize always rounds object sizes up to a multiple of 8 bytes;AllocatorCommon.hpp

HEAP_003;Runtime_Heap;TagUsage;documented;GC and helper routines interpret heap object layout solely via Header.tag using a switch on the Tag enum in getObjectSize and related tracing functions;AllocatorCommon.hpp

HEAP_004;Runtime_Heap;NewTypes;documented;When introducing a new heap object type you must update the Tag enum the C plus plus struct definition getObjectSize scanObject and markChildren so all GC logic stays consistent with the Tag;THEORY.md

HEAP_005;Runtime_Heap;Generational;documented;There are no old to young pointers in the heap which is guaranteed by Elm immutability so the GC does not require a write barrier;THEORY.md

HEAP_006;Runtime_Heap;Forwarding;documented;Forwarding pointers use Tag_Forward and repurpose the header to store a logical pointer to the new location and they exist only during GC and never while mutator code runs;THEORY.md

HEAP_007;Runtime_Heap;ThreadOwnership;documented;Each heap region is owned by exactly one ThreadLocalHeap so there are no cross thread heap pointers and each mutator collects only its own heap;THEORY.md

HEAP_008;Runtime_Heap;HPointerBase;documented;All heap pointers are HPointer values whose ptr field is a 40 bit offset from heap_base so logical pointers are not raw addresses and only conversion helpers touch heap_base;THEORY.md

HEAP_009;Runtime_Heap;HPointerUsage;documented;HPointer is the canonical type for heap references and code must use fromPointer and toPointer or Allocator wrap and resolve rather than treating HPointer as a void star;STYLE.md

HEAP_010;Runtime_Heap;Constants;documented;Common constants such as Unit EmptyRec True False Nil Nothing and EmptyString are represented by nonzero HPointer.constant tags and never allocated as heap objects;Heap.hpp

HEAP_011;Runtime_Heap;GCTriggers;documented;Any allocation via ThreadLocalHeap allocate or Allocator allocate may trigger a minor GC which can move all live nursery objects so callers must assume heap locations may change across allocation;THEORY.md

HEAP_012;Runtime_Heap;HeapBounds;documented;isInHeap uses an O(1) bounds check against heap_base plus heap_reserved so any pointer in the unified heap address range is treated as a potential heap object irrespective of generation;Allocator.hpp

HEAP_013;Runtime_Heap;TagCorrectness;implied;When allocating a heap object the Tag passed to Allocator allocate must correspond to the concrete struct written at that address because GC size and tracing logic derive layout solely from Header.tag;HeapHelpers.hpp and AllocatorCommon.hpp

HEAP_014;Runtime_Heap;EmbeddedConstants;documented;HPointer values with constant not equal to zero represent embedded constants and allocator and resolve operations must treat such pointers as non heap values that do not require tracing;HeapHelpers.hpp

HEAP_015;Runtime_Heap;TypeLayout;enforced;For every heap allocation the header tag and in-memory layout must match the concrete runtime type such as Tuple2 Cons Record or Custom and no value of type List Tuple or Record is ever represented using the Custom struct because the tag and structure must always match;Heap.hpp and AllocatorCommon.hpp

HEAP_016;Runtime_Heap;HPointerReturns;enforced;All eco_alloc_* runtime functions return uint64_t representing HPointer with constant field equal to 0 for heap objects and all functions receiving heap objects take uint64_t and use Allocator resolve internally to convert to raw pointers;RuntimeExports.cpp

HEAP_017;Runtime_Heap;NoNullPointers;enforced;Elm never produces null pointers so any allocation returning null indicates an out of memory condition and any HPointer with ptr equals 0 and constant equals 0 is a valid heap pointer to offset 0 not a null sentinel;Allocator.cpp

HEAP_018;Runtime_Heap;NoCyclicValues;enforced;Elm values are always acyclic because Elm is a pure functional language with immutable data and no recursive let bindings so any traversal of a value graph is guaranteed to terminate and runtime operations like debug printing may safely follow nested references without cycle detection;Language semantics

HEAP_019;Runtime_Heap;UnboxedBitmap;enforced;Container heap objects such as Custom Cons and Record store an unboxed bitmap in header.unboxed that indicates which value slots contain unboxed primitives rather than boxed HPointers and allocators must set this bitmap correctly at allocation time so that GC tracing and debug printing can distinguish unboxed primitive bits from boxed pointers;Heap.hpp and RuntimeExports.cpp

# =============================================================================
# BYTES FUSION REIFICATION PHASE - Static analysis and fusion eligibility
# =============================================================================

BFUSE_001;BytesFusion_Reification;Completeness;enforced;Reification is all-or-nothing and a fused kernel is emitted only when the entire encoder or decoder structure can be statically resolved otherwise the interpreter path is used;Compiler.Generate.MLIR.BytesFusion.Reify

BFUSE_002;BytesFusion_Reification;StaticStructure;enforced;Dynamic encoders and decoders are rejected from fusion and any encoder or decoder whose structure depends on runtime values causes fallback to the interpreter;Compiler.Generate.MLIR.BytesFusion.Reify

